Draw,Date,Numbers
296,2018-06-27,"7,28,37,62,63,15"
297,2018-06-23,"16,29,43,45,56,25"
298,2018-06-20,"4,14,23,27,56,13"
299,2018-06-16,"9,45,57,58,65,9"
300,2018-06-13,"13,20,38,45,55,1"
301,2018-06-09,"6,10,15,25,36,14"
302,2018-06-06,"23,28,41,53,56,14"
303,2018-06-02,"23,25,37,44,64,7"
304,2018-05-30,"17,23,26,46,68,20"
305,2018-05-26,"1,21,31,45,49,21"
306,2018-05-23,"20,54,56,61,64,7"
307,2018-05-19,"3,6,9,17,56,25"
308,2018-05-16,"17,19,21,22,51,19"
309,2018-05-12,"22,42,45,55,56,14"
310,2018-05-09,"11,16,38,50,69,19"
311,2018-05-05,"14,29,36,57,61,17"
312,2018-05-02,"5,14,31,40,50,6"
313,2018-04-28,"20,22,28,45,50,8"
314,2018-04-25,"17,18,39,56,64,12"
315,2018-04-21,"40,50,54,62,69,19"
316,2018-04-18,"9,10,12,17,23,9"
317,2018-04-14,"17,19,26,61,62,15"
318,2018-04-11,"16,18,27,55,67,18"
319,2018-04-07,"2,17,20,38,39,20"
320,2018-04-04,"8,24,42,54,64,24"
321,2018-03-31,"8,24,52,55,61,21"
322,2018-03-28,"6,8,26,52,53,21"
323,2018-03-24,"10,33,45,53,56,24"
324,2018-03-21,"3,4,18,29,61,25"
325,2018-03-17,"22,57,59,60,66,7"
326,2018-03-14,"6,12,24,41,68,9"
327,2018-03-10,"43,44,54,61,69,22"
328,2018-03-07,"6,13,19,36,51,18"
329,2018-03-03,"13,17,25,36,40,5"
330,2018-02-28,"12,30,59,65,69,16"
331,2018-02-24,"24,25,38,62,63,6"
332,2018-02-21,"7,15,31,34,36,8"
333,2018-02-17,"13,26,39,44,62,2"
334,2018-02-14,"37,39,44,46,69,26"
335,2018-02-10,"1,13,27,41,59,20"
336,2018-02-07,"23,34,35,40,47,10"
337,2018-02-03,"15,23,27,48,53,6"
338,2018-01-31,"4,7,14,46,59,22"
339,2018-01-27,"17,21,26,47,54,7"
340,2018-01-24,"5,9,11,33,64,21"
341,2018-01-20,"26,28,47,49,58,3"
342,2018-01-17,"3,33,37,51,57,21"
343,2018-01-13,"14,25,35,58,69,24"
344,2018-01-10,"7,24,33,49,50,4"
345,2018-01-06,"12,61,30,29,33,26"
346,2018-01-03,"2,18,37,39,42,12"
347,2017-12-30,"28,36,41,51,58,24"
348,2017-12-27,"3,9,16,56,60,3"
349,2017-12-23,"1,3,13,15,44,25"
350,2017-12-20,"1,20,61,64,69,20"
351,2017-12-16,"9,35,37,50,63,11"
352,2017-12-13,"2,24,28,51,58,7"
353,2017-12-09,"25,36,37,55,60,6"
354,2017-12-06,"19,20,50,55,62,9"
355,2017-12-02,"28,30,32,36,58,6"
356,2017-11-29,"24,26,28,59,63,16"
357,2017-11-25,"8,13,27,53,54,4"
358,2017-11-22,"35,37,46,51,61,13"
359,2017-11-18,"17,28,31,32,39,26"
360,2017-11-15,"23,32,44,48,50,25"
361,2017-11-11,"4,6,16,30,56,18"
362,2017-11-08,"12,14,20,21,34,22"
363,2017-11-04,"12,14,26,48,51,13"
364,2017-11-01,"3,6,19,26,44,1"
365,2017-10-28,"27,35,38,57,66,10"
366,2017-10-25,"18,22,29,54,57,8"
367,2017-10-21,"14,41,42,45,69,4"
368,2017-10-18,"30,49,54,66,69,8"
369,2017-10-14,"32,37,56,66,69,11"
370,2017-10-11,"1,3,13,19,69,23"
371,2017-10-07,"10,49,61,63,65,7"
372,2017-10-04,"22,23,62,63,66,24"
373,2017-09-30,"8,12,25,41,64,15"
374,2017-09-27,"8,10,21,23,25,22"
375,2017-09-23,"24,45,55,56,57,19"
376,2017-09-20,"39,48,53,67,68,26"
377,2017-09-16,"17,18,24,25,31,24"
378,2017-09-13,"17,24,35,57,63,19"
379,2017-09-09,"6,20,29,57,59,22"
380,2017-09-06,"8,14,32,58,67,17"
381,2017-09-02,"6,21,41,52,62,26"
382,2017-08-30,"19,28,43,67,69,7"
383,2017-08-26,"7,15,32,38,66,15"
384,2017-08-23,"6,7,16,23,26,4"
385,2017-08-19,"17,19,39,43,68,13"
386,2017-08-16,"9,15,43,60,64,4"
387,2017-08-12,"20,24,26,35,49,19"
388,2017-08-09,"12,30,36,47,62,9"
389,2017-08-05,"11,21,28,33,45,11"
390,2017-08-02,"1,16,54,63,69,18"
391,2017-07-29,"1,28,40,45,48,12"
392,2017-07-26,"7,19,21,42,69,12"
393,2017-07-22,"5,32,44,53,60,9"
394,2017-07-19,"50,51,59,61,63,4"
395,2017-07-15,"9,40,63,64,66,17"
396,2017-07-12,"1,2,18,23,61,9"
397,2017-07-08,"8,10,29,40,59,26"
398,2017-07-05,"4,9,16,54,68,21"
399,2017-07-01,"19,42,45,48,53,16"
400,2017-06-28,"29,37,46,53,68,8"
401,2017-06-24,"10,22,32,36,58,10"
402,2017-06-21,"14,46,61,65,68,13"
403,2017-06-17,"10,13,32,53,62,21"
404,2017-06-14,"5,22,43,57,63,24"
405,2017-06-07,"5,21,57,66,69,13"
406,2017-06-03,"3,9,21,41,54,25"
407,2017-05-31,"4,33,39,46,60,6"
408,2017-05-27,"5,10,28,55,67,9"
409,2017-05-24,"28,32,33,38,62,15"
410,2017-05-20,"5,22,45,47,54,3"
411,2017-05-17,"4,11,39,45,48,9"
412,2017-05-13,"17,20,32,63,68,19"
413,2017-05-10,"29,31,46,56,62,8"
414,2017-05-06,"11,21,31,41,59,21"
415,2017-05-03,"17,18,49,59,66,9"
416,2017-04-29,"22,23,24,45,62,5"
417,2017-04-26,"1,15,18,26,51,26"
418,2017-04-22,"21,39,41,48,63,6"
419,2017-04-19,"1,19,37,40,52,15"
420,2017-04-15,"5,22,26,45,61,13"
421,2017-04-12,"8,14,61,63,68,24"
422,2017-04-08,"23,36,51,53,60,15"
423,2017-04-05,"8,20,46,53,54,13"
424,2017-04-01,"9,32,36,44,65,1"
425,2017-03-29,"8,15,31,36,62,11"
426,2017-03-25,"18,31,32,45,48,16"
427,2017-03-22,"2,9,27,29,42,9"
428,2017-03-18,"13,25,44,54,67,5"
429,2017-03-15,"16,30,41,48,53,16"
430,2017-03-11,"1,26,41,50,57,11"
431,2017-03-08,"23,33,42,46,59,4"
432,2017-03-04,"2,18,19,22,63,19"
433,2017-03-01,"10,16,40,52,55,17"
434,2017-02-25,"6,32,47,62,65,19"
435,2017-02-22,"10,13,28,52,61,2"
436,2017-02-18,"3,7,9,31,33,20"
437,2017-02-15,"5,28,33,38,42,19"
438,2017-02-11,"5,9,17,37,64,2"
439,2017-02-08,"14,20,42,49,66,5"
440,2017-02-04,"6,13,16,17,52,25"
441,2017-02-01,"9,43,57,60,64,10"
442,2017-01-28,"12,20,39,49,69,17"
443,2017-01-25,"18,28,62,66,68,22"
444,2017-01-21,"23,25,45,52,67,2"
445,2017-01-18,"9,40,41,53,58,12"
446,2017-01-14,"23,55,59,64,69,13"
447,2017-01-11,"1,3,13,16,43,24"
448,2017-01-07,"3,12,24,37,63,10"
449,2017-01-04,"16,17,29,41,42,4"
450,2016-12-31,"1,3,28,57,67,9"
451,2016-12-28,"16,23,30,44,58,4"
452,2016-12-24,"28,38,42,51,52,21"
453,2016-12-21,"25,33,40,54,68,3"
454,2016-12-17,"1,8,16,40,48,10"
455,2016-12-14,"18,26,37,39,66,15"
456,2016-12-10,"12,21,32,44,66,15"
457,2016-12-07,"41,48,49,53,64,20"
458,2016-12-03,"8,10,26,27,33,22"
459,2016-11-30,"3,14,18,25,45,7"
460,2016-11-26,"17,19,21,37,44,16"
461,2016-11-23,"7,32,41,47,61,3"
462,2016-11-19,"16,24,28,43,61,21"
463,2016-11-16,"28,41,61,63,65,7"
464,2016-11-12,"8,17,20,27,52,24"
465,2016-11-09,"1,25,28,31,54,2"
466,2016-11-05,"21,31,50,51,69,8"
467,2016-11-02,"13,18,37,54,61,5"
468,2016-10-29,"19,20,21,42,48,23"
469,2016-10-26,"2,3,16,48,56,24"
470,2016-10-22,"1,28,33,55,56,22"
471,2016-10-19,"10,16,38,43,63,23"
472,2016-10-15,"23,49,57,64,67,20"
473,2016-10-12,"16,30,34,37,44,16"
474,2016-10-08,"3,54,61,64,68,9"
475,2016-10-05,"8,18,27,29,60,15"
476,2016-10-01,"2,12,50,61,64,1"
477,2016-09-28,"30,38,52,53,62,1"
478,2016-09-24,"7,15,20,29,41,22"
479,2016-09-21,"1,28,63,67,69,17"
480,2016-09-17,"9,19,51,55,62,14"
481,2016-09-14,"10,11,23,28,31,14"
482,2016-09-10,"3,17,49,55,68,8"
483,2016-09-07,"22,23,29,33,55,21"
484,2016-09-03,"7,39,50,59,67,25"
485,2016-08-31,"5,10,24,56,61,12"
486,2016-08-27,"4,32,48,49,63,20"
487,2016-08-24,"9,11,25,64,65,16"
488,2016-08-20,"3,6,21,60,68,24"
489,2016-08-17,"33,44,49,50,52,8"
490,2016-08-13,"38,44,60,64,69,6"
491,2016-08-10,"23,56,61,64,67,12"
492,2016-08-06,"20,33,36,47,52,12"
493,2016-08-03,"9,11,27,66,67,2"
494,2016-07-30,"11,17,21,23,32,5"
495,2016-07-27,"10,47,50,65,68,24"
496,2016-07-23,"5,7,23,35,39,11"
497,2016-07-20,"6,25,35,58,66,5"
498,2016-07-16,"11,17,40,50,62,26"
499,2016-07-13,"3,15,29,54,57,10"
500,2016-07-09,"10,28,32,61,64,12"
501,2016-07-06,"2,24,31,57,66,18"
502,2016-07-02,"10,34,39,59,63,4"
503,2016-06-29,"23,29,37,60,64,6"
504,2016-06-25,"3,27,36,56,69,25"
505,2016-06-22,"14,40,42,43,52,17"
506,2016-06-18,"2,23,41,53,63,11"
507,2016-06-15,"4,22,24,31,33,10"
508,2016-06-11,"20,27,36,41,58,7"
509,2016-06-08,"12,25,37,60,69,20"
510,2016-06-04,"16,20,22,43,64,17"
511,2016-06-01,"23,30,33,40,69,12"
512,2016-05-28,"6,33,34,58,59,12"
513,2016-05-25,"11,24,41,59,64,15"
514,2016-05-21,"5,7,9,23,32,26"
515,2016-05-18,"23,25,39,54,67,11"
516,2016-05-14,"13,27,47,64,65,9"
517,2016-05-11,"20,32,52,66,69,23"
518,2016-05-07,"5,25,26,44,66,9"
519,2016-05-04,"30,47,57,66,69,3"
520,2016-04-30,"3,12,16,32,34,14"
521,2016-04-27,"2,25,33,39,64,17"
522,2016-04-23,"19,35,46,59,62,13"
523,2016-04-20,"12,25,30,52,62,8"
524,2016-04-16,"3,18,25,32,51,3"
525,2016-04-13,"30,33,35,38,64,22"
526,2016-04-09,"14,22,23,41,61,9"
527,2016-04-06,"4,28,49,60,65,25"
528,2016-04-02,"9,28,30,40,61,3"
529,2016-03-30,"24,44,53,55,63,19"
530,2016-03-26,"11,23,42,52,68,6"
531,2016-03-23,"5,8,15,22,49,25"
532,2016-03-19,"11,23,43,54,60,3"
533,2016-03-16,"10,12,13,46,50,21"
534,2016-03-12,"11,28,50,57,62,23"
535,2016-03-09,"14,23,32,34,68,3"
536,2016-03-05,"3,27,34,59,69,19"
537,2016-03-02,"12,13,44,52,62,6"
538,2016-02-27,"10,11,21,22,53,18"
539,2016-02-24,"21,31,64,65,67,5"
540,2016-02-20,"11,12,15,16,54,25"
541,2016-02-17,"7,17,27,29,40,25"
542,2016-02-13,"7,15,18,19,36,20"
543,2016-02-10,"2,3,40,50,62,5"
544,2016-02-06,"4,13,31,36,52,8"
545,2016-02-03,"26,28,31,60,67,23"
546,2016-01-30,"5,12,16,31,43,18"
547,2016-01-27,"3,12,40,52,67,21"
548,2016-01-23,"22,32,34,40,69,19"
549,2016-01-20,"5,39,44,47,69,24"
550,2016-01-16,"3,51,52,61,64,6"
551,2016-01-13,"4,8,19,27,34,10"
552,2016-01-09,"16,19,32,34,57,13"
553,2016-01-06,"2,11,47,62,63,17"
554,2016-01-02,"5,6,15,29,42,10"
555,2015-12-30,"12,36,38,54,61,22"
556,2015-12-26,"27,40,44,59,65,20"
557,2015-12-23,"16,38,55,63,67,25"
558,2015-12-19,"28,30,41,59,68,10"
559,2015-12-16,"9,10,32,42,55,6"
560,2015-12-12,"2,14,19,30,62,22"
561,2015-12-09,"7,10,16,46,56,1"
562,2015-12-05,"13,27,33,47,68,13"
563,2015-12-02,"14,18,19,32,64,9"
564,2015-11-28,"2,6,47,66,67,2"
565,2015-11-25,"16,29,53,58,69,21"
566,2015-11-21,"37,47,50,52,57,21"
567,2015-11-18,"17,40,41,46,69,6"
568,2015-11-14,"14,22,37,45,66,5"
569,2015-11-11,"4,26,32,55,64,18"
570,2015-11-07,"7,16,25,50,53,15"
571,2015-11-04,"2,12,17,20,65,17"
572,2015-10-31,"9,20,25,47,68,7"
573,2015-10-28,"4,54,56,62,63,10"
574,2015-10-24,"20,31,56,60,64,2"
575,2015-10-21,"30,32,42,56,57,11"
576,2015-10-17,"48,49,57,62,69,19"
577,2015-10-14,"15,20,29,31,40,1"
578,2015-10-10,"12,27,29,43,68,1"
579,2015-10-07,"18,30,40,48,52,9"
580,2015-10-03,"6,26,33,44,46,4"
581,2015-09-30,"21,39,40,55,59,17"
582,2015-09-26,"23,31,42,50,57,5"
583,2015-09-23,"8,29,41,51,58,5"
584,2015-09-19,"12,17,26,43,48,24"
585,2015-09-16,"5,7,24,31,39,7"
586,2015-09-12,"2,3,13,16,35,27"
587,2015-09-09,"44,45,47,50,51,8"
588,2015-09-05,"10,16,18,29,45,19"
589,2015-09-02,"17,22,30,46,56,16"
590,2015-08-29,"18,21,25,28,29,16"
591,2015-08-26,"2,22,32,45,56,12"
592,2015-08-22,"4,12,14,21,55,7"
593,2015-08-19,"6,8,43,48,50,7"
594,2015-08-15,"3,13,17,42,52,24"
595,2015-08-12,"8,13,29,38,52,28"
596,2015-08-08,"9,34,48,52,54,15"
597,2015-08-05,"9,11,14,16,42,19"
598,2015-08-01,"7,13,24,49,57,15"
599,2015-07-29,"4,22,27,28,52,35"
600,2015-07-25,"27,29,34,41,44,2"
601,2015-07-22,"12,31,43,44,57,11"
602,2015-07-18,"6,37,39,45,55,33"
603,2015-07-15,"13,16,34,45,50,11"
604,2015-07-11,"11,39,46,52,54,3"
605,2015-07-08,"4,15,25,27,30,18"
606,2015-07-04,"3,6,14,18,24,21"
607,2015-07-01,"7,24,26,31,41,25"
